threshold,precision,recall
0.11836626529653971,0.14291854717386632,0.9940209267563528
0.11840461709344845,0.1429492691315563,0.9940209267563528
0.11841346208020369,0.1429800043001505,0.9940209267563528
0.11857281421897248,0.14301075268817204,0.9940209267563528
0.11874816816840683,0.14304151430415143,0.9940209267563528
0.11875472500974815,0.1430722891566265,0.9940209267563528
0.11894420302609417,0.14310307725414245,0.9940209267563528
0.11899636197012535,0.14313387860525184,0.9940209267563528
0.11904299164450094,0.14316469321851452,0.9940209267563528
0.11917522079727311,0.14319552110249784,0.9940209267563528
0.11922686236125973,0.14322636226577642,0.9940209267563528
0.11936302831818639,0.14325721671693237,0.9940209267563528
0.11944577321210932,0.14328808446455504,0.9940209267563528
0.11953866433081699,0.14331896551724138,0.9940209267563528
0.11955875542980278,0.1433498598835956,0.9940209267563528
0.11967218015842253,0.14316515739542907,0.992526158445441
0.11969992760822246,0.14319603191718783,0.992526158445441
0.11983525797023442,0.14322691975841242,0.992526158445441
0.11997452527597323,0.14328873543375054,0.992526158445441
0.12005920112889541,0.14331966328512843,0.992526158445441
0.12006904912423712,0.14335060449050085,0.992526158445441
0.12007326693976632,0.14338155905851868,0.992526158445441
0.12009781598362594,0.14341252699784018,0.992526158445441
0.120494306969141,0.14344350831713112,0.992526158445441
0.12053532668562678,0.14347450302506481,0.992526158445441
0.12080770488952329,0.14350551113032203,0.992526158445441
0.12091080834847993,0.143536532641591,0.992526158445441
0.12100798555512315,0.14356756756756756,0.992526158445441
0.12127250596637029,0.14359861591695502,0.992526158445441
0.12133037302613657,0.14362967769846421,0.992526158445441
0.12167462185664035,0.1436607529208135,0.992526158445441
0.12184908363950266,0.14369184159272885,0.992526158445441
0.12185116688626073,0.1437540593201992,0.992526158445441
0.12186305996154816,0.14378518839324383,0.992526158445441
0.12205447820539143,0.14381633095083388,0.992526158445441
0.12208689259584782,0.1438474870017331,0.992526158445441
0.1220918746716579,0.14387865655471288,0.992526158445441
0.12216120821731848,0.14390983961855222,0.992526158445441
0.12223322518145202,0.14394103620203771,0.992526158445441
0.12236912574414344,0.14397224631396358,0.992526158445441
0.12240817446145753,0.14400346996313165,0.992526158445441
0.12245772122338446,0.1440347071583514,0.992526158445441
0.1225955873215883,0.14406595790844,0.992526158445441
0.12261182291182982,0.1440972222222222,0.992526158445441
0.12262466346901028,0.1441285001085305,0.992526158445441
0.1226503782280381,0.14415979157620495,0.992526158445441
0.1226759461762605,0.14419109663409338,0.992526158445441
0.12282701649393939,0.14422241529105126,0.992526158445441
0.1231095071303947,0.14425374755594178,0.992526158445441
0.12313983924499,0.14428509343763582,0.992526158445441
0.1231423838140403,0.14431645294501194,0.992526158445441
0.12315211097481653,0.1443478260869565,0.992526158445441
0.123310607101786,0.14437921287236355,0.992526158445441
0.12331080247055866,0.14441061331013483,0.992526158445441
0.12333362333358962,0.1444420274091799,0.992526158445441
0.12336647328337509,0.144473455178416,0.992526158445441
0.12336662560597698,0.14450489662676821,0.992526158445441
0.12344376520133889,0.14453635176316934,0.992526158445441
0.12357244818854152,0.14456782059655998,0.992526158445441
0.12361374978623363,0.1445993031358885,0.992526158445441
0.12363686774818332,0.1446307993901111,0.992526158445441
0.12392609009051696,0.14466230936819172,0.992526158445441
0.12402893180382753,0.1446938330791022,0.992526158445441
0.12418821373158294,0.14472537053182213,0.992526158445441
0.12434174442273349,0.144756921735339,0.992526158445441
0.12440198373895313,0.14478848669864805,0.992526158445441
0.12441404080794305,0.14482006543075246,0.992526158445441
0.124550212292778,0.14485165794066318,0.992526158445441
0.12455039482445208,0.14488326423739908,0.992526158445441
0.12457561365393761,0.1449148843299869,0.992526158445441
